issuekey,title,description,storypoint
KANOO-5477,[Android][SDE Payment] - PWK by SD - Allow Kanoo User scan and pay the invoice QR Code,"*Acceptance Criteria** Accessing PWK from both internal SDE and external SDE consumer sites. * Open Kanoo App and Login, access Wallet → Sand Dollar card. Then click either on “Scan To Pay”  or “Send” and choose “Not A Kanoo User”. Open the camera to scan the PWK invoice QR or type the QR value* Process the payment normally as we have for scan merchant QR or Terminal QR* When the payment in-app is successful, PWK will be redirected to the complete screen. Terminal will be refresh in case of SDE internal site",5
KANOO-5476,[iOS][SDE Payment] - PWK by SD - Allow Kanoo User scan and pay the invoice QR Code,"*Acceptance Criteria** Accessing PWK from both internal SDE and external SDE consumer sites. * Open Kanoo App and Login, access Wallet → Sand Dollar card. Then click either on “Scan To Pay”  or “Send” and choose “Not A Kanoo User”. Open the camera to scan the PWK invoice QR or type the QR value* Process the payment normally as we have for scan merchant QR or Terminal QR* When the payment in-app is successful, PWK will be redirected to the complete screen. Terminal will be refresh in case of SDE internal site",5
KANOO-5475,Activate front-camera when receive signal from PWK,Always activate front-camera when receive signal from PWK. Apply to all device models.,1
KANOO-5474,Turn off automation print receipt on Kanoo POS,"On Kanoo POS for SDE Agency merchant, do not auto printing the receiptClick on ""Print Receipt"" will print the current receipt.  Click on ""X"" will direct to the home screen.",1
KANOO-5473,Print receipt - display the logo of agency instead of GOV,"On Kanoo POS for SDE agency merchant, print the logo of agency instead of GOV.",1
KANOO-5472,Display Agency logo in POS idle screen,On the Kanoo POS for SDE merchant. Display Agency logo in POS idle screenThis will apply to the new POS app too.,1
KANOO-5471,"Mobile - Review Code, Build App S31","Review code, merge code, build app.",5
KANOO-5469,[Web] GDS - Report - List out expired and cancelled GCs,Requirement: https://kardsys.atlassian.net/browse/KANOO-5462,2
KANOO-5468,Default Fee Table for SDE Merchant,All merchant processing fees need to be zero by default for SDE merchant when creating new merchant for SDE aency.* Create ONE fee table from the default fee table and this free table will be used for all new merchants and don't create new ones.* Set zero for all merchant processing fees of this fee table.* Assign this fee table to all SDE merchants.,3
KANOO-5467,[Android] KGP App - Receive the payment signal for Scanning Physical Card,Reference task [https://kardsys.atlassian.net/browse/KANOO-5438|https://kardsys.atlassian.net/browse/KANOO-5438|smart-link] ,3
KANOO-5466,[Android] KGP App - Receive the payment signal for QR Code,Reference task [https://kardsys.atlassian.net/browse/KANOO-5226|https://kardsys.atlassian.net/browse/KANOO-5226|smart-link] ,3
KANOO-5465,[Android] KGP App - Main Screen,Reference task [https://kardsys.atlassian.net/browse/KANOO-5225|https://kardsys.atlassian.net/browse/KANOO-5225|smart-link] ,3
KANOO-5464,[Android] KGP App - Login,Reference task [https://kardsys.atlassian.net/browse/KANOO-5224|https://kardsys.atlassian.net/browse/KANOO-5224|smart-link] ,5
KANOO-5463,[Android] KGP App - Create Structure,Reference task [https://kardsys.atlassian.net/browse/KANOO-5437|https://kardsys.atlassian.net/browse/KANOO-5437|smart-link] ,8
KANOO-5462,GDS - Report - List out expired and cancelled GCs,"*Acceptance Criteria** We will reuse Disabled GC report, its name is changed to “Discontinued“* This report lists out all gift cards in status below** Disabled** Expired** Cancelled* There is a new filter called Status with 4 options: All, Disabled, Expired, Cancelled. The default is All* Keep the number of columns as current. Add new column next to NIB numbers called Status. This can be Disabled, Expired, Cancelled. ||Gift Card Image||NIB number||Status||Value of Benefit Given||Approved by||Reason||Executed by||Transaction Date||* Update the CSV export* Update Show/Hide Columns options. Add a Status column and it is displayed by default* Ensure pagination, page size, filter by date will work as currentMockup: [https://xd.adobe.com/view/05686a06-7af4-4bd0-9897-2390271e9f82-503b/screen/e0fb5918-9896-4ae3-92c5-85f2dced00ba/|https://xd.adobe.com/view/05686a06-7af4-4bd0-9897-2390271e9f82-503b/screen/e0fb5918-9896-4ae3-92c5-85f2dced00ba/|smart-link] ",2
KANOO-5461,[Android] KanooPOS - SDE Payment - Get Invoice,Reference task [https://kardsys.atlassian.net/browse/KANOO-5439|https://kardsys.atlassian.net/browse/KANOO-5439|smart-link] ,3
KANOO-5460,[Android] Kanoo App - SDE Invoice Payment - Get Invoice Detail,Reference task [https://kardsys.atlassian.net/browse/KANOO-5441|https://kardsys.atlassian.net/browse/KANOO-5441|smart-link] ,5
KANOO-5454,SDE Payment with SD Card - Update for Kanoo App,* Update to call to new payment flow.** Kanoo SD card in wallet** Guest payment with external SD card* Update callback to adapt with new payment flow.,5
KANOO-5453,SDE Payment with SD Card - Update for PWK,* Update to call to new payment flow.* Update callback to adapt with new payment flow.,8
KANOO-5452,BE [Kanoo App with logged-in user] - SDE Payment with SD Card - Implement new common payment flow,"* Implement new payment flow following REQ in EPIC.* These changes don’t cause any impact on the current payment flow of SDE agencies and other Kanoo merchants.AC:* Kanoo User open Kanoo App, then access Public Services menu and input the Invoice Number that they would like to make payment* Kanoo User choose Sand Dollar as payment method* When Kanoo User makes payment, the money must be directed transfer to SDE Agency.* Transaction will similar to the flow Kanoo User do AirPay with an external Merchant. \[Look at the [~accountid:5e8c33ed6c8ec30b8ac87a95] comment, if we can keep that flow then better]Other card methods will act the same as it is.",5
KANOO-5451,[ARM] GDS - The money flow when GC is expired or canceled,Requirement: [https://kardsys.atlassian.net/browse/KANOO-5407|https://kardsys.atlassian.net/browse/KANOO-5407]Display new transaction on ARM master/admin,1
KANOO-5450,[Web] GDS - The money flow when GC is expired or canceled,Requirement: [https://kardsys.atlassian.net/browse/KANOO-5407|https://kardsys.atlassian.net/browse/KANOO-5407]Display new transaction on Visipay,1
KANOO-5449,[Visipay] - Fees - GDS GC Cancellation,Requirement: https://kardsys.atlassian.net/browse/KANOO-5448,2
KANOO-5448,[BE] Visipay - Fees - GDS GC Cancellation,"*Acceptance criteria** When a GC is canceled or expired, the rest of the unredeemed value should go back to the original source (merchant) and Kanoo will get the gift card cancellation fee that can be configurable in Visipay (per merchant) and this fee should be separate from the redemption fee. * A new transaction type “GDS Gift Card Cancellation” will be created for this new transaction to transferring money from Kanoo reserve account to the merchant issuer.** This new transaction type must be available on Visipay and ARM.** New transaction must be available on Visipay, ARM.** Remitter: Kanoo Cash Card** Beneficiary: <Merchant Name>/<4 last digits of Merchant Cash Card>* The fee name will be “Gift Card Cancellation Refund“. ** It is available for General and Merchant section. It’s in Refund Fee Processing Fee section. ** It allows setting “Percentage“, not “Fixed Number“ and “Both“** Ensure we also record logs for fee changes!image-20210714-050325.png|width=100%!",2
KANOO-5447,GDS - Get QR Code - Display Expiration Date,"*Acceptance Criteria** In User page, when view user details, click on three-dot icon then select QR Code, I should see it displays QR code with PDF preview as current but there is a new line item added. It is called Expiration Date* It displays the Expiration Date of that Gift Card. Also, we should display the timezone next to the date. Here should be EST, for example 07/10/2021 EST** In autumn/winter, it is EST** In spring/summer, it is EDT* If there is no Expiration Date set, do not display that row!image-20210713-102004.png|width=100%!Mockup: [https://xd.adobe.com/view/05686a06-7af4-4bd0-9897-2390271e9f82-503b/screen/f191e1d1-c379-4b08-ab0b-5c34fac31818/|https://xd.adobe.com/view/05686a06-7af4-4bd0-9897-2390271e9f82-503b/screen/f191e1d1-c379-4b08-ab0b-5c34fac31818/|smart-link] ",2
KANOO-5446,[iOS] - KanooPOS - Scan to Pay by Linked Credit Card,REQ: [https://kardsys.atlassian.net/browse/KANOO-5435|https://kardsys.atlassian.net/browse/KANOO-5435|smart-link] ,5
KANOO-5445,[Android] - KanooPOS - Scan to Pay by Linked Credit Card,REQ: [https://kardsys.atlassian.net/browse/KANOO-5435|https://kardsys.atlassian.net/browse/KANOO-5435|smart-link] ,5
KANOO-5444,BE - Provide GDS Gift Card Expiration Date,Req: [https://kardsys.atlassian.net/browse/KANOO-5431|https://kardsys.atlassian.net/browse/KANOO-5431|smart-link] ,1
KANOO-5443,[BE] KanooPOS - Displayed messages when scanning Canceled or Expired Gift Card,Requirement: https://kardsys.atlassian.net/browse/KANOO-5430,3
KANOO-5442,GDS - External Email - Include Expiration Date in Emails,"*Acceptance Criteria** Below is the email template, there is a new line item added. It is called Expiration Date. This is the Expiration Date of that Gift Card* If Gift Cards are not set Expiration Date, do not display this line item* Also, we should display the timezone next to the date. Here should be EST, for example 07/10/2021 EST** In autumn/winter, it is EST** In spring/summer, it is EDT!image-20210713-093831.png|width=100%!",1
KANOO-5441,[iOS] Kanoo App - SDE Invoice Payment - Get Invoice Detail,* Add Home screen with 2 menus for Kanoo Services and Public Services.* Add new screen for Invoice Detail.** Enter invoice number** Display supported agencies** Display invoice detail,5
KANOO-5440,[Web] GDS - Add Single User - Set Gift Card Expiration Date,Requirement: https://kardsys.atlassian.net/browse/KANOO-5267,2
KANOO-5439,[iOS] KanooPOS - SDE Payment - Get Invoice,*Acceptance Criteria** Add Public Services menu* New screen for Invoice Detail** Display supported agencies** Allow users to enter an invoice number** Display Invoice DetailMockup: [https://xd.adobe.com/view/0bae8e29-e28a-413a-945e-708c666ae423-5efd/|https://xd.adobe.com/view/0bae8e29-e28a-413a-945e-708c666ae423-5efd/|smart-link] ,3
KANOO-5438,[iOS] KGP App - Receive the payment signal for Scanning Physical Card,"*Acceptance Criteria*In the main screen of KPG app, I can see the payment sent from the cashier site* If the cashier selects “*Sand Dollar App*” in SDE Internal site, I can see following things** QR Code to scan, Amount, Timeout counter** I have to use the Sand Dollar app (Reference App) to scan the QR code to complete the payment** If timeout is 00:00, ❓ * If the cashier selects “*Physical Card*” in SDE Internal site, it displays a scanner. I have to show QR code (Send side) of my physical SD card to complete the payment** If there is any un-matched QR code scanned, display pop-up {color:#00b8d9}_“This is an invalid code“_{color}. Tapping on OK button continues to scan.Mockup: [https://xd.adobe.com/view/da6670c0-aa3c-4877-bd35-85a17dd69b39-8f35/screen/0d6cc28c-f464-4d01-8275-4a3e59feb64c/|https://xd.adobe.com/view/da6670c0-aa3c-4877-bd35-85a17dd69b39-8f35/screen/0d6cc28c-f464-4d01-8275-4a3e59feb64c/|smart-link] ",3
KANOO-5437,[iOS] KGP App - Create Structure,* Create new app* Create structure* Register firebase for push notifications.,8
KANOO-5436,BE - Create API Caculating VisipayDashboard by Month,"Create Api Caculating VisipayDashboard data by month.# *API URL:* {color:#ff5630}reporting/sync/visipaydashboard/\{month}{color}month format must be: {color:#ff5630}yyyymm{color}. Example: {color:#ff991f}202101{color}, ...,202110, 202100, {color:#ff991f}202112{color}{noformat}curl --location --request GET 'http://localhost:8083/reporting/sync/visipaydashboard/202106' \--header 'apiKey: 7fGew3CHgOzDS6PwgJ97EMDhiRsYdtlPidkC4FUmpE5AFMbC'{noformat}",2
KANOO-5435,BE - KanooPOS - Scan to Pay by Linked Credit Card,"*Acceptance Criteria** When using Scan To Pay feature in KanooPOS, Staff should be able to scan the QR Code of Credit Card to make payment like Cash Card and SD card in Kanoo user’s wallet.* Display last 4 digits of credit card number on the Confirmation screen like Cash Card Number. Change the title “Cash Card Number” to “Card Number” in order to be applied for both Cash Card and Credit Card.** !image-20210713-094854.png|width=828,height=1472!* After payment.** Merchant is charged *“Other Credit Cards - Processing Fee”.*** The transaction is saved with Category Kanoo Card Purchase and this is recorded in both mobile and web app.** There is also Commission Send transaction as normal.",5
KANOO-5434,Investigate update balance using FUNCTION Postgres,"Postgres script:{code:sql}CREATE or REPLACE FUNCTION exchange_balance (account_id bigint, amount float8) RETURNS float8 LANGUAGE plpgsql as $$DECLARE    current_balance float8 := 0;    change_balance float8 := 0;    final_balance float8 := -1;  begin    select balance into current_balance from money_account where id=exchange_balance.account_id;    change_balance := current_balance + exchange_balance.amount;	if (change_balance >= 0) THEN        UPDATE money_account	        SET balance = balance + amount	        WHERE id = exchange_balance.account_id	    RETURNING balance into final_balance;	end if;    return final_balance;end$$;{code}{color:#ff5630}*ACCEPTANCE TEST*{color}# Case {color:#ff5630}not_enough_money {color}→ user’s balance isn’t updated.# {color:#ff5630}RemainingValue{color} response must be correct.*NOTE*# MUST Rollback for {color:#ff5630}AccountControlException {color}when call withdrawAccount() on AccountManager class.",3
KANOO-5433,BE - Investigate Connecting to Amazon Athena,Investigate Connecting to Amazon Athena*CONFIG*# Region: Region.US_WEST_2# {{AWS_ACCESS_KEY_ID=abcdefg }}{{AWS_SECRET_ACCESS_KEY=hijklmn}}# S3 Output folder# database name,5
KANOO-5432,[Android] KanooPOS - Displayed messages when scanning Canceled or Expired Gift Card,"*Acceptance Criteria** When using Pay features to scan/enter QR codes of GDS Gift Cards that has been expired or canceled, ** It displays message {color:#00b8d9}_“This Gift Card has been canceled“_{color} in case that GC is canceled from GDS site** It displays message {color:#00b8d9}_“This Gift Card has been expired“_{color} in case that GC is expired by Expiration Date set from GDS site",1
KANOO-5431,[Android] Kanoo Apps - Checkout - Display Gift Card Expiration Date,*Acceptance Criteria** Buy product: display expired date of GDS gift card when viewing the list of gift card to use for payment.* Airpay: display expired date of GDS gift card when viewing the list of gift card to use for payment.* Ensure the date is based on time setting of device (local time)!image-20210713-091504.png|width=58.333333333333336%!,1
